"id","time","band","rx_sign","rx_lat","rx_lon","rx_loc","tx_sign","tx_lat","tx_lon","tx_loc","distance","azimuth","rx_azimuth","frequency","power","snr","drift","version","code"
3844555381,"2022-01-26 14:54:00",14,"AA6DY",42.188,-87.792,"EN62ce","KR9T",42.188,-87.792,"EN62ce",0,0,0,14097041,0,3,0,"2.1.0",1
3844555391,"2022-01-26 14:54:00",14,"AA6DY",42.188,-87.792,"EN62ce","KR9T",42.188,-87.792,"EN62ce",0,0,0,14097161,0,30,0,"2.1.0",1
3844555618,"2022-01-26 14:54:00",14,"AA6DY",42.188,-87.792,"EN62ce","KR9T",42.188,-87.792,"EN62ce",0,0,0,14097101,0,0,0,"2.1.0",1
3844560270,"2022-01-26 14:56:00",14,"AA6DY",42.188,-87.792,"EN62ce","KR9T",42.188,-87.792,"EN62ce",0,0,0,14097161,7,30,0,"2.1.0",1
3844560298,"2022-01-26 14:56:00",14,"AA6DY",42.188,-87.792,"EN62ce","KR9T",42.188,-87.792,"EN62ce",0,0,0,14097041,7,2,0,"2.1.0",1
3844560311,"2022-01-26 14:56:00",14,"AA6DY",42.188,-87.792,"EN62ce","KR9T",42.188,-87.792,"EN62ce",0,0,0,14097101,7,0,0,"2.1.0",1
3845005187,"2022-01-26 17:34:00",10,"N2ADV",43.021,-75.625,"FN23ea","KR9T",42.188,-87.792,"EN62ce",999,81,268,10140133,0,-20,0,"2.5.4",1
3845005706,"2022-01-26 17:34:00",10,"WD4ELG",36.188,-79.875,"FM06be","KR9T",42.188,-87.792,"EN62ce",953,132,316,10140119,0,-23,0,"2.5.0",1
3845007408,"2022-01-26 17:34:00",10,"N6GN/K",40.604,-105.208,"DN70jo","KR9T",42.188,-87.792,"EN62ce",1461,269,77,10140120,0,-25,-1,"WD_2.10k",1
3845007558,"2022-01-26 17:34:00",10,"WA2TP",40.854,-73.042,"FN30lu","KR9T",42.188,-87.792,"EN62ce",1235,92,281,10140120,0,-25,0,"WD_2.10k",1
3845008256,"2022-01-26 17:34:00",10,"KX4O",38.646,-77.792,"FM18cp","KR9T",42.188,-87.792,"EN62ce",933,112,298,10140122,0,-25,0,"WD_2.10k",1
3845008260,"2022-01-26 17:34:00",10,"KD2OM",42.979,-77.458,"FN12gx","KR9T",42.188,-87.792,"EN62ce",850,81,267,10140122,0,-25,0,"WD_2.10k",1
3845008506,"2022-01-26 17:34:00",10,"N2HQI",43.021,-76.458,"FN13sa","KR9T",42.188,-87.792,"EN62ce",931,80,268,10140143,0,-23,-1,"",1
3845010355,"2022-01-26 17:36:00",10,"N2ADV",43.021,-75.625,"FN23ea","KR9T",42.188,-87.792,"EN62ce",999,81,268,10140133,17,-24,0,"2.5.4",1
3845010524,"2022-01-26 17:36:00",10,"WD4ELG",36.188,-79.875,"FM06be","KR9T",42.188,-87.792,"EN62ce",953,132,316,10140119,17,-22,0,"2.5.0",1
3845013169,"2022-01-26 17:36:00",10,"KD2OM",42.979,-77.458,"FN12gx","KR9T",42.188,-87.792,"EN62ce",850,81,267,10140122,17,-26,0,"WD_2.10k",1
3845013170,"2022-01-26 17:36:00",10,"KX4O",38.646,-77.792,"FM18cp","KR9T",42.188,-87.792,"EN62ce",933,112,298,10140122,17,-24,0,"WD_2.10k",1
3845031797,"2022-01-26 17:44:00",14,"W1JV",42.563,-70.875,"FN42nn","KR9T",42.188,-87.792,"EN62ce",1388,83,274,14097156,0,-15,-1,"2.2.156",1
3845032328,"2022-01-26 17:44:00",14,"WD0E",39.521,-104.625,"DM79qm","KR9T",42.188,-87.792,"EN62ce",1444,264,72,14097150,0,-8,1,"2.1.2",1
3845031989,"2022-01-26 17:44:00",14,"K4JOP",32.604,-85.458,"EM72go","KR9T",42.188,-87.792,"EN62ce",1085,168,349,14097156,0,-21,0,"2.5.4",1
3845040028,"2022-01-26 17:44:00",14,"KM3T",42.813,-71.625,"FN42et","KR9T",42.229,-87.792,"EN62cf",1324,82,272,14097133,0,-10,0,"CWSL_DIGI",1
3845031997,"2022-01-26 17:44:00",14,"KK9H",42.188,-87.792,"EN62ce","KR9T",42.188,-87.792,"EN62ce",70,62,0,14097141,0,9,0,"2.3.1",1
3845032527,"2022-01-26 17:44:00",14,"KG5ABO",32.646,-97.375,"EM12hp","KR9T",42.188,-87.792,"EN62ce",1355,222,35,14097172,0,-25,0,"2.5.3",1
3845032049,"2022-01-26 17:44:00",14,"KN4NBI",36.813,-76.125,"FM16wt","KR9T",42.188,-87.792,"EN62ce",1164,117,304,14097153,0,-28,0,"2.1.0",1
3845032666,"2022-01-26 17:44:00",14,"KI5CEA",38.354,-104.708,"DM78pi","KR9T",42.188,-87.792,"EN62ce",1494,259,68,14097143,0,-18,-1,"2.5.4",1
3845032192,"2022-01-26 17:44:00",14,"N8OWY",41.938,-87.708,"EN61dw","KR9T",42.188,-87.792,"EN62ce",29,166,346,14097145,0,-21,0,"2.1.2",1
3845032702,"2022-01-26 17:44:00",14,"W4ERJ",33.563,-81.708,"EM93dn","KR9T",42.188,-87.792,"EN62ce",1097,149,332,14097166,0,-18,0,"2.2.1",1
3845032955,"2022-01-26 17:44:00",14,"AA6DY",42.188,-87.792,"EN62ce","KR9T",42.188,-87.792,"EN62ce",0,0,0,14097025,0,-11,0,"2.1.0",1
3845032967,"2022-01-26 17:44:00",14,"AA6DY",42.188,-87.792,"EN62ce","KR9T",42.188,-87.792,"EN62ce",0,0,0,14097145,0,15,0,"2.1.0",1
3845033017,"2022-01-26 17:44:00",14,"K4COD",33.104,-84.458,"EM73sc","KR9T",42.188,-87.792,"EN62ce",1052,163,344,14097142,0,-20,0,"2.1.2",1
3845033109,"2022-01-26 17:44:00",14,"K5XL",32.646,-97.125,"EM12kp","KR9T",42.188,-87.792,"EN62ce",1342,221,35,14097141,0,-9,0,"2.5.1",1
3845033185,"2022-01-26 17:44:00",14,"WB8SCG",36.896,-76.625,"FM16qv","KR9T",42.188,-87.792,"EN62ce",1122,118,305,14097140,0,-12,0,"2.5.0",1
3845033278,"2022-01-26 17:44:00",14,"N1PCE",44.354,-71.625,"FN44ei","KR9T",42.188,-87.792,"EN62ce",1329,74,265,14097170,0,-24,0,"2.4.0",1
3845033367,"2022-01-26 17:44:00",14,"KE7A",32.979,-97.125,"EM12kx","KR9T",42.188,-87.792,"EN62ce",1312,222,36,14097141,0,-14,0,"2.5.4",1
3845032429,"2022-01-26 17:44:00",14,"W5CSR",31.188,-89.625,"EM51ee","KR9T",42.188,-87.792,"EN62ce",1234,188,7,14097147,0,-4,0,"2.3.1",1
3845033459,"2022-01-26 17:44:00",14,"WY1U",41.479,-72.875,"FN31nl","KR9T",42.188,-87.792,"EN62ce",1237,89,278,14097143,0,-19,0,"2.0.0",1
3845033816,"2022-01-26 17:44:00",14,"N6GN/K",40.604,-105.208,"DN70jo","KR9T",42.188,-87.792,"EN62ce",1461,269,77,14097142,0,-9,0,"WD_2.10k",1
3845033969,"2022-01-26 17:44:00",14,"WA2TP",40.854,-73.042,"FN30lu","KR9T",42.188,-87.792,"EN62ce",1235,92,281,14097142,0,-10,0,"WD_2.10k",1
3845034294,"2022-01-26 17:44:00",14,"KP4MD",38.688,-121.292,"CM98iq","KR9T",42.188,-87.792,"EN62ce",2843,273,71,14097142,0,-27,0,"WD_2.10k",1
3845035144,"2022-01-26 17:44:00",14,"WZ7I",40.438,-75.125,"FN20kk","KR9T",42.188,-87.792,"EN62ce",1075,96,284,14097123,0,-14,0,"CWSL_DIGI",1
3845035218,"2022-01-26 17:44:00",14,"KPH",38.104,-122.958,"CM88mc","KR9T",42.188,-87.792,"EN62ce",3002,273,70,14097141,0,-17,0,"WD_2.10k",1
3845035371,"2022-01-26 17:44:00",14,"56IGJF",42.146,-71.625,"FN42ed","KR9T",42.188,-87.792,"EN62ce",1330,85,275,14097148,0,-10,0,"2.5.4",1
3845035523,"2022-01-26 17:44:00",14,"KA7OEI-1",41.604,-112.292,"DN31uo","KR9T",42.188,-87.792,"EN62ce",2022,276,79,14097134,0,-14,0,"WD_2.10k",1
3845035782,"2022-01-26 17:44:00",14,"KB9AMG",42.979,-88.375,"EN52tx","KR9T",42.188,-87.792,"EN62ce",100,332,151,14097143,0,-20,0,"1.6.1-deve",1
